weight,wingLength,tarsusLength,beakLength,beakDepth,beakWidth
18.64,70.4,19.03,11.44,9.01,9.23
15.46,66.13,19.4,10.94,10.5,9.53
16.79,70.15,18.83,10.66,10.46,8.81
15.82,67.47,18.34,10.34,9.73,10.41
16.61,69.52,19.56,12.25,10.11,9.11
14.25,74.85,19.41,11.64,9.57,8.5
20.12,71.36,19.65,12.86,8.75,7.35
18.72,73.53,18.65,11.94,9.92,8.28
13.37,69.67,18.84,9.11,9.32,8.78
17.74,69.4,19.48,11.65,9.4,9.01
17.2,69.15,19.37,11.21,9.79,8.51
14.78,64.13,19.82,10.83,10.34,7.9
13.71,69.75,19.4,10.04,10.25,9.13
16.93,69.36,20.59,11.05,10.29,9.28
16.81,69.12,19.3,11.54,9.24,8.82
16.25,69.07,19.81,10.74,9.03,8.6
15.08,70.95,19.24,10.46,7.99,9.61
18.6,69.43,18.36,10.87,9.93,9.21
16.01,70.88,18,11.87,8.43,9.48
15.98,71.19,19.48,11.78,9.17,8.7
17.9,70.76,19.03,11.51,9.09,10.17
16.57,71.33,19.66,10.99,9.21,9.17
11.88,70.7,18.95,11.66,8.53,8.83
18.06,64.96,20.25,11.48,9.53,9.41
18.2,68.22,20.09,11.34,10.88,7.87
15,69.04,19.61,10.34,9.89,8.32
17.04,65.38,19.27,10.98,9.17,8.86
17.85,67.43,18.38,9.93,8.9,8.08
16.83,73.19,18.53,11.46,8.76,8.83
17.76,66.93,18.27,11.45,10.27,8.5
18.43,70.67,18.56,12.36,8.5,8.82
16.94,68.89,18.86,12.27,11.21,9.46
18.39,71.15,18.49,9.19,10,9.93
15.05,70.71,19.29,11.46,8.9,9.68
18.9,71.35,18.43,11.27,10.22,8.6
12.73,68.11,19.65,9.93,10.51,8.75
12.79,69.43,19.52,10.13,9.69,8.42
19.62,72.73,19.5,10.32,9.48,9.41
17,73.43,20.1,11.35,10.64,8.08
20.31,66.41,19.51,11.67,9.34,9.71
16.33,70.43,18.93,11.47,9.61,7.6
13.98,73.43,19.84,9.13,9.13,8.39
19.08,69.24,20.84,12.6,10.4,8.54
15.27,65.24,19.53,11.85,10.06,8.7
15.92,70.61,18.58,11.07,9.98,9.15
17.01,69.03,18.7,12.12,9.65,10.09
18.7,68.96,19.3,12.45,9.43,7.41
18.66,68.44,20.84,10.32,9.52,9.74
15.89,74.01,20.25,10.32,9.84,8.52
22.04,70.72,18.6,11.5,10.07,8.85
15.24,67.2,17.82,11.85,9.9,8.62
15.63,75.23,19.23,10.27,8.89,9.12
15.39,69.05,19.54,11.68,8.49,8.74
17.11,74.02,19.41,12.41,9.75,10.11
18.7,71.61,18.62,10.89,9.39,9.33
17.21,70.5,19.29,9.23,9.86,10.1
18.27,67.88,18.66,10.9,10.02,9.26
19.25,70.74,17.75,10.49,7.65,9.21
14.85,67.9,17.74,11.87,9.12,9.27
14.18,66.1,18.81,10.62,10.62,8.91
17.65,72.6,19.67,10.95,9.67,9.08
14.51,70.89,18.89,11.97,10.01,8.89
14.62,69.57,19.22,12.82,8.71,9.05
15.21,69.56,19.88,11.95,9.66,8.09
16.06,66.51,19.7,11.18,10.82,8.79
18.8,70.3,19.25,11.62,9.97,8.73
19.31,65.05,17.79,11.19,10.04,9.52
17.43,67.25,19.52,11.93,10.47,7.99
17.16,68.19,20.52,10.35,9.65,8.44
15.79,65.28,19.48,10.01,9.62,9.3
17.78,67.55,19.47,12.44,8.77,8.34
15.03,64.8,18.7,9.91,9.04,8.07
15.5,74.16,18.97,10.72,11.76,9.09
17.89,67.37,18.69,9.64,10.38,9.32
16.98,70.45,17.69,11.27,8.88,8.17
17.13,67.46,18.92,11.8,9.91,8.56
14.97,69.83,20.01,10.6,9.71,8.96
18.53,73.26,18.89,11.16,9.49,8.16
16.37,69.28,18.3,10.15,9.01,9.89
19.17,72.84,20.44,12.05,10.81,9.65
15,68.84,18.43,10.1,8.83,7.49
18.49,71.24,20.25,10.37,9.67,9.67
13.65,67.97,19.41,10.17,7.3,9.32
17.55,68.36,19.36,10.81,8.9,8.5
20.03,67.4,19.44,11.82,8.88,8.58
15.28,71.36,19.13,10.77,9.48,9.27
17.45,73.95,20.32,11.8,9.06,7.96
17.68,66.75,20.27,11.81,10.68,8.05
15.18,71.03,20.65,11.12,10.22,8.86
17.59,68.1,18.54,11.07,8.92,8.55
18.64,71.11,19.29,10.07,9.79,9.09
15.67,71.75,19.71,10.05,9.17,9.01
16.67,70.21,20.4,11.87,8.57,8.53
21.98,71.9,17.83,10.32,9.8,9.84
17.56,70.31,19.02,11.67,9.76,7.2
19.62,69.3,20.08,9.82,9.79,8.79
17.9,70.68,19.91,10.45,8.82,8.68
14.86,71.84,19.6,10.01,8.38,8.77
18.05,72.95,19.06,11.99,10.04,8.99
13.53,70.86,19.35,9.41,8.28,8.72
16.36,69.73,19.29,10.9,9.51,7.75
15.84,68.11,18.17,11.43,9.66,9.09
18.01,70.48,19.15,12.25,9.04,8.83
16.77,67.69,19.28,11.03,7.84,9.9
18.58,69.14,19.08,10.77,9.99,9.4
15.97,68.28,18.89,10.07,7.8,8.53
17.58,71.67,19.06,11.43,10.58,9.09
19.4,70.08,19.81,11.34,9.5,8.22
19.28,69.43,19.37,10.94,7.92,8.83
15.8,67.37,17.44,10.16,8.24,9.57
13.43,68.46,19.17,11.14,9.72,10.13
18.77,72.84,19.03,10.8,8.67,9.84
17.63,68.04,19.04,11.02,9.69,7.86
15.35,70.02,18.35,10.47,9.25,8.87
19.27,70.48,18.27,9.59,8.94,9.58
18.99,70.44,19.97,11.58,9.49,9.77
18.05,69.94,20.22,11.31,9.29,9.45
17.2,69.29,18.7,10.47,7.89,8.54
17.24,69.32,19.44,11.99,9.9,7.36
19.87,66.87,17.56,11.47,8.56,8.25
17.98,68.5,20.47,11.25,8.4,9.37
18.37,69.39,18.79,11.81,8.89,9.11
19.25,69.59,19.5,12.96,9.26,8.6
15.64,67.98,18.2,10.53,9.22,9.57
20.56,67.13,19.43,11.62,7.91,8.86
12.94,67.11,18.99,10.45,9.58,9.27
17.29,71.34,19.36,11.03,10.68,9.15
19.21,63.38,18.52,10.41,10.6,7.56
15.42,67.92,20.33,10.18,10.19,8.55
22.05,66.6,19.62,11.54,9.28,9.64
15.63,71.6,18.85,11.56,9.5,9.74
16.89,67.59,19.69,10.29,9.19,8.69
18.58,68.91,19.31,10.99,8.02,8.58
19.25,68.4,18.01,10.36,9.7,9.5
15.08,69.32,20.04,11.45,8.97,7.59
13.6,67.3,19.67,10.45,10.34,9.09
17.64,68.18,19.71,10.09,10.34,9.7
17.7,70.94,19.28,11.12,10.55,9.55
16.35,68.26,19.25,10.8,9.05,8.3
15.85,69.16,20.13,11.56,8.68,8.94
20.61,69.2,19.82,10.64,9.24,8.59
17.06,74.45,19.14,11.16,10,10.08
14.85,67.95,19.02,11.43,9.81,8.16
16.4,69.62,19.05,9.97,9.66,8.85
16.5,65.79,19.6,11.34,9.65,9.25
18.57,74.26,20.44,10.85,9.56,9.32
18.47,67.52,19.34,11.1,10.58,8.95
15.42,69.17,19.12,11.71,9.64,8.66
15.29,68.62,18.5,10.91,8.58,9.23
19.05,67.21,19.41,10.52,9.29,8.56
12.47,70.73,19.66,11.47,7.9,9.75
15.9,70.38,19.13,10.03,9.48,10.94
19.55,72,19.01,11.51,11.26,7.8
16.34,68.95,19.16,10.59,7.98,9.49
16.19,67.69,19.62,11.54,8.93,9.2
16.65,70.29,19.03,11.36,9.4,9.34
17.47,72.38,19.17,12.34,10.39,9.3
14.05,67.81,18.02,11.19,10.06,9.2
17.23,71.51,18.32,11.31,10.05,8.66
17.91,70.1,18.93,10.46,10.65,8.77
14.25,69.84,18.94,10.96,8.22,9.78
16.27,71.03,18.64,11.95,10.01,8.3
18.47,68.4,18.81,11.14,9.2,8.19
15.59,68.39,18.85,10.7,11.47,9.58
17.55,70.28,18.47,12.1,9.29,9.53
15.84,67.4,20.31,10.04,9.07,9.93
15.06,64.98,19.21,9.86,10.77,8
19.54,72.61,19.35,11.38,7.82,8.88
18.81,70.12,18.56,11.15,8.13,10.33
16.95,71.97,19.81,10.24,9.49,9.53
17.57,72.25,19.32,9.97,9.25,8.83
18.21,67.47,19.73,11.09,11.47,9.12
16.91,74.02,17.91,10.63,9.2,8.5
19.36,70.87,19.2,11.66,9.24,7.99
18.65,71.6,17.89,9.36,10.09,9.41
16.81,72.82,19.16,10.28,10.99,8.95
16.55,66.16,18.39,11.86,7.99,9.31
17.17,67.87,20.05,10.11,8.78,9.44
20.04,68.02,19.69,12.52,11.03,9.87
18.96,67.66,19.43,10.53,8.74,9.64
21,72.72,20.47,11.91,8.5,9.4
17.35,70.62,18.84,10.59,9.65,10.08
19.52,70.48,19.39,9.72,10.59,8.05
16.59,68.2,19.54,10.58,10.81,9.07
12.66,70.8,19.32,10.99,9.5,7.93
18.51,73.8,19.59,11.74,10.17,9.39
17.17,67.27,20.1,11.9,10.39,8.97
15.86,69.64,18.46,12.1,11.21,9.59
16.86,71.25,20.19,11.26,10.34,7.84
16.88,71.08,19.22,10.99,10.05,9.74
18.01,69.12,19.17,11.17,9.69,8.15
15.91,68.89,18.52,10.66,9.48,8.6
18.54,69.18,18.72,9.92,9.46,8.74
15.88,68.68,18.55,11.85,7.9,9.27
17.58,70.07,20.58,9.02,10.93,8.65
17.8,71.3,19.28,11.77,9.96,8.93
19.27,72.23,18.36,10.11,8.75,8.27
16.56,71.25,18.52,10.97,10.1,8.37
16.38,73.01,19.75,10.79,10.92,9.15
19.7,69.14,19.62,11.6,10.31,9.26
16.02,71.88,19.94,9.35,8.86,7.63
13.56,71.03,18.46,10.36,9.68,8.28
17.11,70.88,20.07,11.12,10.23,9.17
18.37,67.37,19.24,10.37,9.46,8.62
13.72,67.66,19.6,10.52,10.12,8.82
14.54,68.1,18.67,9.35,8.55,9.59
16.36,70.89,17.97,10.43,8.04,9.14
17.62,61.82,18.25,10.46,10.44,9.2
16.98,66.69,20.98,9.85,11.34,10
21.61,69.94,20.1,10.66,10.48,9.49
16.15,65.43,19.89,12.35,8.53,9.04
15.67,68.47,18.84,11.94,9.35,8.46
17.21,69.24,20.04,11.05,9.51,9.06
17.19,71.04,20.15,12.26,8.29,9.48
15.16,72.84,19.75,11.59,10.5,7.77
18.2,71.82,19.12,11.11,9.68,9.14
17.44,66.53,17.87,11.67,9.75,9.38
16.28,70.29,19.16,10.73,9.56,9.85
12.64,71.45,19.22,10.1,8.61,9.18
14.24,69.01,20.17,11.21,8.15,9.03
16.3,67.36,18.82,11.52,10.13,9.3
18.91,67.22,19.16,9.28,9.72,8.04
21.97,68.29,21.08,10.59,8.49,8.83
18.96,69.61,19.36,10.79,8.55,8.21
16.69,69.99,19.88,10.88,8.11,8.75
16.03,75.46,19.49,10.05,9.2,7.52
16.64,69.46,19.77,10.94,9.71,9.08
19.39,66.34,18.24,11.31,10.07,10.37
16.78,69.6,19.48,10.86,9.32,9.23
12.36,73.77,19.23,10.48,9.68,7.78
16.73,74.5,18.81,11.07,10.48,8.8
19.83,70.23,18.81,11.51,9.77,8.51
16.47,66.58,19.63,12.13,9.76,9.64
16.81,71.96,20.21,10.55,9.88,7.65
14.78,71.12,19.56,11.57,9.43,8.99
17.74,68.58,19.52,10.1,10.08,9.61
18.17,71.59,17.75,11.77,8.66,8.92
14.84,68.04,19.08,10.28,9.62,8.37
19.12,68.61,19.62,11.37,11.32,8.92
15.23,66.55,19.49,12.17,7.62,8.66
16.95,65.34,19,11.13,8.85,8.61
18.45,69.15,19.03,11.98,9.42,8.49
15.65,72.3,19.45,10.31,9.53,8.94
17,71.1,19.22,10.22,9.96,9.14
17.39,67.12,19.41,11.55,9.19,8.27
17.01,73.93,18.87,10.88,10.12,8.29
16.54,69.41,19.65,11.69,9.3,8.39
14.8,70.29,21.31,10.7,7.99,8.9
17.12,68.77,19.37,10.27,10.35,9.13
20.22,69.43,18.34,11.16,9.99,8.66
19.09,71.11,18.23,12.06,10.1,9.9
15.13,70.1,18.47,11.83,10.23,9.11
20.37,70.67,18.92,10.89,9.94,9.35
16.22,69.57,19.84,11.76,10.63,8.69
18.68,68.36,18.62,9.88,10.57,9.36
18.89,73.49,19.35,11.01,8.42,8.37
17.32,69.66,19.55,11.44,10.11,8.33
16.1,69.84,19.09,11.47,9.75,9.57
16.49,70.25,18.95,10.95,9.74,9.46
14.29,68.99,19.54,11.96,10.68,9.97
17.98,71.24,19.2,11.08,9.19,8.42
16.02,68.42,20.04,9.95,9.92,8.95
16.58,72.31,20.98,10.97,10.65,8.3
20.19,68.35,20.31,11.34,10.09,9.38
15.75,74.08,19.87,11.62,8.42,9.45
17.49,72.58,18.38,11.52,9.25,8.76
19.84,66.49,19.35,10.26,8.03,8.33
15.68,70.72,19.32,10.56,9.62,8.44
19.54,68.19,18.44,11.32,9.32,9
15.78,70.31,19.92,11.96,8.77,8.06
17.07,69.65,19.89,11.44,9.58,8.01
17.49,67.96,19.21,10.55,9.65,9.3
16.46,69.73,18.75,11.55,10.16,8.76
14.45,68.98,18.94,11.1,9.62,8.76
17.98,65.06,20,11.14,9.44,8.81
13.61,70.7,19.74,10.9,9.82,9.22
13.93,67.75,19.13,11.05,8.11,8.36
16.14,64.56,18.98,10.67,9.7,8.14
16.07,67.82,19.54,10.6,9.66,8.96
16.11,70.14,19.33,10.1,9.61,9.04
20.36,68.59,19.92,10.01,9.64,8.84
21.11,69.27,18.97,11.27,8.32,8.67
18.72,69.05,18.72,11.13,9.6,9.43
14.75,68.3,20.15,10.4,10.92,9.3
18.13,68.39,19.97,10.52,10.45,8.51
16.62,69.67,19.67,10.38,11.36,8.39
17.41,70.05,19.94,12.08,9.68,8.65
17.35,67.51,20.15,11.36,8.63,8.99
16.72,74.85,18.21,11.22,8.6,8.71
16.68,67.54,19.85,11.34,9.27,9.9
16.96,65.07,18.56,11.44,9.36,8.85
17.33,68.5,18.73,10.63,8.94,7.38
15.22,69.6,19.9,10.61,8.46,9.93
21.12,72.58,19.03,12.42,10.62,9.1
14.83,71.81,20.67,10.91,8.93,7.18
14.67,70.04,19.1,11.3,9.13,8.35
14.1,67.5,17.88,10.84,9.54,7.75
15.33,66.81,18.92,10.68,9.82,8.93
19.51,70.18,19.82,11.74,8.8,9.52
18.65,67.23,20.76,10.5,9.52,7.03
16.78,68.52,19.95,10.36,9.56,8.42
18.79,71.67,19.18,11.26,9.96,9.5
14.03,69.37,19.32,9.01,9.72,9.44
19.23,68.97,18.78,11.27,9.51,9.44
16.28,64.2,19.66,12.19,8.91,9.58
16.85,68.03,19.66,9.99,7.96,9.86
17.06,70.19,18.57,10.48,8.72,10.09
17.59,65.52,18.96,11.68,8.97,8.79
19.73,69.32,18.99,10.19,11.61,8.41
18.72,67.89,18.9,10.59,11.13,9.3
16.37,64.78,20.38,9.72,9.76,8.44
20.89,69.45,19.15,9.52,10.68,8.61
17.31,64.9,19.49,10.34,8.73,8.23
18.05,69.5,19.61,10.47,9.15,9.27
19.8,69.34,18.82,10.43,9.15,10.6
17.61,65.23,19.8,10.83,9.81,8.96
17.65,65.91,19.5,11.01,10.44,9.15
16.28,70.19,20.22,10.46,10.22,8.96
16.62,68.65,19.71,11.23,9.97,9.57
14.29,71.54,18.27,10.9,10.79,8.31
18.2,73.68,18.64,11.52,7.69,9.53
17.11,67.29,19.38,10.47,8.68,8.56
17.08,70.17,18.96,10.67,10.12,8.53
16.64,69.98,19,12.86,10.04,9.13
16.02,70.05,18.91,10.03,9.67,9.26
17.9,65.94,19.68,11.08,8.52,8.76
17.56,69.95,18.76,10.86,10.32,8
16.32,68.39,18.78,11.62,8.7,9.05
20.42,69.62,19.46,10,9.73,8.93
15.96,70.89,19.55,11.24,9.09,8.53
19.15,65.47,19.75,12.42,9.94,7.76
20.1,72.36,18.95,12.75,9.14,8.03
17.23,69.7,18.98,10.79,9.71,8.08
16.01,71.36,20.22,11.47,9.07,10.24
18.01,68.21,19.74,10.3,10.2,9.31
19.13,67.09,18.86,10.58,9.48,8.24
15.07,68.48,19.03,10.47,10.77,8.47
15.65,70.34,19.31,11.77,9.48,9.3
15.12,67.41,18.8,10.81,10.26,9.1
17.63,70.31,18.3,11.55,10.01,8.11
18.34,68.24,18.77,9.35,8.41,9.27
18.25,69.15,18.53,9.47,10.34,8.36
18.43,70.43,19.79,10.74,9.48,8.08
20.11,68.41,18.27,11.07,8.19,9.26
15.63,66.69,20.09,11.24,9.01,9.24
14.52,68.65,19.21,9.54,8.64,8.25
21.39,70.39,19.69,9.91,9.38,8.54
18.52,67.22,18.5,11.61,9.83,9.28
19.08,68.94,18.63,10.43,10.16,7.16
18.22,71.47,19.43,12.11,9.89,8.35
16.13,70.5,20.56,9.31,9.68,8.48
14.8,69.77,19.79,11.68,9.57,8.12
19.84,70.87,18.88,11.52,10.97,8.46
16.13,70.51,19.18,10.57,9.65,9.16
20.24,70.77,18.25,10.16,9.49,8.5
17.96,72.63,19.92,10.62,8.72,8.95
17.39,66.15,19.49,9.56,10.26,9.28
15.41,71.02,19.58,10.4,10.32,8.82
17.46,68.76,19.25,11.12,9.36,9.75
13.94,72.86,17.92,11.36,9.06,8.94
21.22,73.6,20,11.4,8.26,8.99
12.48,69.83,18.74,11.82,9.92,9.27
20.94,73.63,19.4,11.6,10.91,9.58
15.62,65.5,20.46,11.43,9.29,8.84
16.33,67.21,19.7,12.06,8.35,9.33
19.63,65.09,19.4,11.26,10.32,10.01
15.69,72.89,19.16,12.11,10.27,8.33
18.11,71.8,18.88,11.74,9.61,8.75
16.49,69.64,18.87,11.05,10.91,8.77
16.27,69.3,19.8,11.45,11.63,7.29
17.18,68.66,18.7,10.9,9.49,8.68
15.65,71.61,18.15,12.9,9.77,8.59
15.96,67.89,19.04,10.51,8.72,9.52
19.55,64.79,18.65,10.03,9.53,8.6
16.87,67.21,18.82,11.42,10.49,8.58
19.82,69.46,19.41,10.22,9.02,9.25
18.67,65.31,18.31,11.28,7.68,10.24
18.08,70.23,19.58,10.5,9.04,7.85
14.23,69.92,20.06,10.76,10.54,8.83
19.52,68.7,19.3,10.58,9.55,8.86
17.58,70.31,19.77,11.61,9.96,8.58
17.45,69.12,18.92,12.11,11.34,8.51
18.74,68.42,19.63,10.36,10.28,9.82
15.8,69.92,18.82,11.29,10.37,9
16.04,72.4,19.9,11.31,9.11,8.69
18.29,70.54,19.77,9,10.66,9.68
18.6,71.58,19.41,10.69,9.13,7.8
11.82,70.73,18.51,10.07,8.89,9.83
14.77,68.59,18.58,10.53,8.68,9.09
17.55,67.22,19.07,10.87,11.16,8.8
16.95,72.84,18.43,11.13,8.7,8.57
13.19,65.69,19.72,11.44,9.53,8.52
15.52,70.47,19.47,11.92,10.42,9.32
15.4,67.11,20.35,10.4,10.02,8.77
15.72,72.98,20.39,11.96,11.1,8.99
16.76,73.46,19.94,11.07,10.24,9.42
18.78,72.59,19.09,11.18,8.39,8.08
16.6,71.25,19.93,11.79,9.3,8.91
17.28,74.92,19.73,12.26,9.3,10.54
17.12,71.21,19.18,12.35,9.23,8.95
15.85,72.03,20.16,9.15,9.71,9.25
16.99,70.29,20.41,11.46,9.78,9.97
17.09,67.22,19.29,10.64,9.4,8.75
14.19,73.87,18.93,10.3,10.75,8.55
18.23,70.67,18.31,9.99,10.83,8.97
18.74,69.13,19.95,11.38,9.66,9.14
16.24,66.38,18.14,9.95,8.34,8.31
14.76,66.77,17.55,12.26,8.86,7.9
18.42,69.75,19.29,10.44,7.98,7.35
16.71,71.81,19.72,11.23,12.24,8.13
19.32,68.53,19.12,11.59,9.57,9.05
18.68,67.01,18.97,11.02,9.84,9.85
16.21,66.06,20.26,11.68,8.93,8.96
16,63.78,19.05,11.51,10.34,8.93
18.32,66.21,18.93,11.51,7.92,8.34
12.42,67.85,20.15,11.4,9.7,8.66
17.89,69.22,18.62,12.01,8.53,8.25
18.45,69.47,19.25,9.94,8.47,8.64
16.42,64.47,20.09,10.92,9.26,9.12
16.72,68.45,17.83,11.26,10.28,8.34
14.39,68.6,19.48,11.67,11.55,8.85
17.78,67.38,16.95,11.92,10.77,8.85
14.9,72.96,20.36,10.06,9.17,8.28
13.44,68.14,18.38,10.88,10,8.75
18.6,64.54,18.87,11.54,9.02,8.78
15.68,67.22,19.75,11.57,9.84,9.3
13.01,68.02,18.91,11.94,9.09,9.08
15.57,64.73,17.74,11.14,9.93,9.1
19.65,68.91,19.32,11.19,9.86,9.2
19.08,71.07,18.74,11.79,10.44,8.31
16.58,66.07,18.03,10.39,9.88,9.1
12,71.6,19.51,9.86,9.58,9.48
17.32,68.95,19.4,10.36,9.23,9.08
15.76,68.46,20.11,11.53,10.13,8.84
14.85,70.48,19.54,13.66,7.23,8.12
17.16,73.11,17.94,9.95,8.72,8.6
16.07,69.39,19.15,11.72,9.09,8.76
16.64,68.49,19.82,11.13,10,9.4
16.13,68.73,18.92,10.05,9.75,9.04
16.42,68.53,20.05,11.9,10.09,9.51
14.61,70.51,18.79,10.53,9.97,9.3
16.11,69.13,19.53,11.2,10.2,9.15
15.3,69.38,21.21,10.9,9.16,8.3
16.79,73.51,20.09,11.98,10.95,8.68
14.68,64.47,20.02,11.22,10.82,8.46
15.75,68.25,19.15,11.1,9.6,8.43
15.5,70.18,19.56,11.53,10.42,8.07
15.06,68.11,18.57,9.91,9.66,9.17
18.11,67.06,20.11,10.41,10.1,8
16.91,68.22,18.53,10.86,9.37,9.22
17.91,66.21,19.85,12.51,10.06,9.05
15.91,66.68,19.94,12.26,9.67,9.22
17.3,70.91,19.39,10.86,8.46,8.93
17.31,68.86,20.86,10.49,10.15,8.44
16.5,71.45,18.81,11.17,7.81,9.71
21.42,69.1,19.24,9.49,10.05,8.14
19.24,73.09,19.17,9.97,8.77,9.36
14.39,69.16,20.21,12.14,10.33,7.79
18.46,70.8,18.84,11.92,9.55,9.07
16.32,68.81,18.26,11.37,10.05,8.75
16.64,73.07,19.43,10.45,8.18,8.87
16.93,66.22,19.82,10.53,10.43,9.79
15.39,68.36,19.74,10.73,11.14,9.04
18.91,71.59,18.82,12.14,9.81,9.81
18.2,69.32,19.03,10.43,9.69,8.22
18.68,70.28,18.84,11.49,7.59,8.88
14.56,65.61,19.42,10.46,10.03,9.03
19.52,64.97,20.34,10.26,9.56,9.62
17.07,69.04,18.29,11.5,9.49,8.8
18.25,71.59,19.13,9.98,10.98,8.39
17.6,66.2,18.29,11.1,9.34,9.08
13.66,70.86,20.2,10.45,10.75,9.86
16.52,66.55,19.1,12.14,9.8,8.49
15.01,65.82,19.29,11.94,10.7,8.03
18.71,69,19.72,10.14,9.24,9.94
16.51,66.4,19.87,10.55,10.37,9.79
15.46,69.58,18.94,10.13,9.1,9.59
17.58,68.65,19.89,11.27,12.02,8.27
17.56,69.57,18.25,9.91,10.07,9.21
15.56,70.91,20.37,10.2,10.42,9.49
18.52,71.66,19.36,10.54,9.38,8.8
16.31,71.09,18.15,10.67,9.31,8.04
15.8,74.52,19.53,11.98,11.42,9.23
17.15,69.98,18.83,11.39,9.26,8.07
16.69,68.02,19.11,12.67,8.5,9.73
